"MAIN","DESCRIPTION","VISIBILITY","PROBABILITY_OF_PRECIPITATION","DATE","HOUR_INTERVAL","TEMP","FEELS_LIKE","TEMP_MIN","TEMP_MAX","PRESSURE","LIST.MAIN.SEA_LEVEL","GRND_LEVEL","HUMIDITY","TEMP_KF","CLOUDS_ALL","WIND_SPEED","WIND_DEG","WIND_GUST","SYS_POD","RAIN_OVER_3H","CITY.NAME","CITY.COORD.LAT","CITY.COORD.LON","CITY.COUNTRY","CITY.POPULATION","CITY.TIMEZONE","CITY.SUNRISE","CITY.SUNSET"
"Clouds","overcast clouds",10000,0,2024-11-04,03:00:00,30.69,34.43,28.95,30.69,1016,1016,1010,61,1.74,100,5.84,45,4.85,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,06:00:00,29.18,31.34,26.15,29.18,1015,1015,1008,60,3.03,84,6.45,32,8.73,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,09:00:00,25.39,25.84,22.74,25.39,1015,1015,1009,71,2.65,62,5.04,19,11.67,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-04,12:00:00,21.94,22.28,21.94,21.94,1015,1015,1009,80,0,38,3.27,358,9.12,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,15:00:00,21.3,21.65,21.3,21.3,1014,1014,1009,83,0,56,3.86,72,6.94,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-04,18:00:00,20.77,20.99,20.77,20.77,1015,1015,1010,80,0,74,2.46,23,4.67,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-04,21:00:00,22.74,22.95,22.74,22.74,1016,1016,1011,72,0,100,1.71,327,2.79,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-05,00:00:00,30.85,30.72,30.85,30.85,1014,1014,1009,40,0,54,2.55,17,3.88,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-05,03:00:00,30.76,31.04,30.76,30.76,1012,1012,1007,43,0,5,5.94,56,6.01,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","few clouds",10000,0,2024-11-05,06:00:00,26.62,26.62,26.62,26.62,1012,1012,1007,58,0,24,6.38,34,9.04,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Rain","light rain",10000,0.53,2024-11-05,09:00:00,22.92,23.36,22.92,22.92,1014,1014,1009,80,0,53,4.47,51,11.55,"n",0.37,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Rain","light rain",10000,0.3,2024-11-05,12:00:00,22.58,22.85,22.58,22.58,1015,1015,1009,75,0,71,3.8,15,8.93,"n",0.18,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-05,15:00:00,21.3,21.47,21.3,21.3,1015,1015,1009,76,0,94,2.01,349,5.16,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-05,18:00:00,20.33,20.53,20.33,20.33,1015,1015,1009,81,0,73,0.96,343,1.29,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-05,21:00:00,22.17,22.35,22.17,22.17,1016,1016,1011,73,0,99,1.41,9,2.22,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-06,00:00:00,28.33,28.45,28.33,28.33,1015,1015,1010,46,0,99,1.8,35,2.96,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-06,03:00:00,28.82,29.43,28.82,28.82,1013,1013,1008,50,0,100,5.75,51,4.77,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-06,06:00:00,26.61,26.61,26.61,26.61,1012,1012,1007,60,0,59,6.57,38,9.09,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-06,09:00:00,23.52,23.91,23.52,23.52,1014,1014,1009,76,0,1,5.81,25,12.54,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-06,12:00:00,22.73,23.17,22.73,22.73,1016,1016,1010,81,0,2,3.05,26,7.04,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-06,15:00:00,21.55,21.9,21.55,21.55,1015,1015,1009,82,0,2,2.22,359,4.84,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-06,18:00:00,20.28,20.64,20.28,20.28,1015,1015,1009,87,0,1,1.6,343,3.61,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-06,21:00:00,23.19,23.39,23.19,23.19,1016,1016,1010,70,0,4,1.91,356,3.18,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","few clouds",10000,0,2024-11-07,00:00:00,30.84,31,30.84,30.84,1014,1014,1008,42,0,17,1.86,18,2.99,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-07,03:00:00,30.12,31.23,30.12,30.12,1011,1011,1006,50,0,100,6.16,54,5.35,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-07,06:00:00,27.87,29.26,27.87,27.87,1010,1010,1004,60,0,78,6.65,31,9.75,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-07,09:00:00,24.31,24.83,24.31,24.31,1010,1010,1005,78,0,6,5.93,26,12.65,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-07,12:00:00,23.89,24.32,23.89,23.89,1011,1011,1006,76,0,4,3.03,21,5.99,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-07,15:00:00,23.04,23.46,23.04,23.04,1011,1011,1005,79,0,37,1.74,352,3.2,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-07,18:00:00,21.57,21.98,21.57,21.57,1010,1010,1005,84,0,46,2.17,9,4.88,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-07,21:00:00,25.07,25.36,25.07,25.07,1013,1013,1007,66,0,66,1.94,320,4.45,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-08,00:00:00,33.37,33.93,33.37,33.37,1010,1010,1005,38,0,46,2.73,302,4.74,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,03:00:00,33.42,34.46,33.42,33.42,1007,1007,1002,40,0,53,4.92,46,6.43,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,06:00:00,31.88,33.05,31.88,31.88,1005,1005,1000,45,0,67,3.73,38,4.45,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,09:00:00,28.16,29.57,28.16,28.16,1008,1008,1003,59,0,53,1.45,56,2.78,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-08,12:00:00,25.3,25.82,25.3,25.3,1011,1011,1006,74,0,30,3.58,148,8.61,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","few clouds",10000,0,2024-11-08,15:00:00,23.85,24.46,23.85,23.85,1012,1012,1006,83,0,23,3.42,165,8.67,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-08,18:00:00,23.36,23.89,23.36,23.36,1013,1013,1007,82,0,39,2.78,181,7.8,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-08,21:00:00,24.12,24.65,24.12,24.12,1015,1015,1010,79,0,98,3.78,159,8.81,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-09,00:00:00,26.07,26.07,26.07,26.07,1016,1016,1011,69,0,99,5.42,136,7.66,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Rain","light rain",10000,1,2024-11-04,03:00:00,16.36,16.09,16.23,16.36,1014,1014,992,78,0.13,100,4.19,177,13.98,"n",2.4,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-04,06:00:00,16.4,16.26,16.4,16.48,1014,1014,991,83,-0.08,100,4.49,173,14.18,"n",0.3,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","moderate rain",3709,1,2024-11-04,09:00:00,16.51,16.59,16.51,16.59,1012,1012,990,91,-0.08,100,3.91,175,12.45,"n",7.17,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","heavy intensity rain",6543,1,2024-11-04,12:00:00,16.71,16.86,16.71,16.71,1009,1009,988,93,0,100,6.8,164,16.56,"n",16.7,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,0.98,2024-11-04,15:00:00,18.11,18.17,18.11,18.11,1011,1011,989,84,0,100,6.72,202,15.41,"d",0.85,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,0.87,2024-11-04,18:00:00,19.36,19.49,19.36,19.36,1011,1011,989,82,0,100,6,205,13.13,"d",0.12,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,0.78,2024-11-04,21:00:00,18.82,18.95,18.82,18.82,1011,1011,989,84,0,100,4.64,218,9.98,"d",0.34,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,0.31,2024-11-05,00:00:00,17.81,17.92,17.81,17.81,1010,1010,989,87,0,100,3.3,195,9.36,"n",0.19,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,03:00:00,17.77,18,17.77,17.77,1009,1009,988,92,0,100,5.05,183,13.95,"n",1.28,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,06:00:00,19.28,19.35,19.28,19.28,1006,1006,985,80,0,100,7.39,182,18.12,"n",0.66,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,09:00:00,19.33,19.33,19.33,19.33,1005,1005,984,77,0,100,7.92,186,20.72,"n",1.79,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,12:00:00,19.36,19.26,19.36,19.36,1004,1004,982,73,0,100,10.28,187,23.89,"n",0.51,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,15:00:00,18.53,18.42,18.53,18.53,1004,1004,983,76,0,100,7.73,190,19.37,"d",2.87,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,1,2024-11-05,18:00:00,20,19.83,20,20,1004,1004,983,68,0,100,8.36,212,17.12,"d",0.17,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Rain","light rain",10000,0.81,2024-11-05,21:00:00,19.55,19.31,19.55,19.55,1004,1004,983,67,0,100,7.53,216,15.83,"d",0.54,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","overcast clouds",10000,0.38,2024-11-06,00:00:00,18.13,17.72,18.13,18.13,1007,1007,985,66,0,100,6.51,228,13.25,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","overcast clouds",10000,0,2024-11-06,03:00:00,14.93,14.25,14.93,14.93,1010,1010,989,68,0,100,4.94,280,10.6,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","overcast clouds",10000,0,2024-11-06,06:00:00,13.52,12.52,13.52,13.52,1013,1013,991,61,0,86,4.02,311,6.75,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","scattered clouds",10000,0,2024-11-06,09:00:00,11.38,10.22,11.38,11.38,1015,1015,994,63,0,43,3.29,332,4.06,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","few clouds",10000,0,2024-11-06,12:00:00,9.79,8.19,9.79,9.79,1018,1018,996,70,0,21,3.12,358,3.65,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-06,15:00:00,10.83,9.69,10.83,10.83,1021,1021,999,66,0,9,2.37,21,2.7,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-06,18:00:00,12.92,11.73,12.92,12.92,1021,1021,999,56,0,9,2.46,56,1.79,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-06,21:00:00,12.49,11.31,12.49,12.49,1022,1022,1000,58,0,0,2.95,48,2.51,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,00:00:00,10.94,9.84,10.94,10.94,1024,1024,1001,67,0,0,2.82,47,3.66,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,03:00:00,10.52,9.46,10.52,10.52,1024,1024,1002,70,0,0,2.5,44,4.11,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,06:00:00,10.37,9.32,10.37,10.37,1024,1024,1002,71,0,0,2.33,38,4.75,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,09:00:00,10.17,9.2,10.17,10.17,1025,1025,1003,75,0,0,2.3,29,4.92,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,12:00:00,9.98,9.01,9.98,9.98,1026,1026,1004,77,0,0,2.21,25,4.62,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,15:00:00,12.27,11.17,12.27,12.27,1028,1028,1005,62,0,0,3.18,36,4.25,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,18:00:00,13.91,12.69,13.91,13.91,1027,1027,1005,51,0,0,3.24,45,3.57,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-07,21:00:00,13.39,12.12,13.39,13.39,1027,1027,1005,51,0,0,3.58,37,4.13,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-08,00:00:00,11.85,10.63,11.85,11.85,1028,1028,1006,59,0,0,2.23,40,3.84,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clear","clear sky",10000,0,2024-11-08,03:00:00,11.15,9.97,11.15,11.15,1028,1028,1006,63,0,0,1.86,43,3.73,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","few clouds",10000,0,2024-11-08,06:00:00,10.8,9.63,10.8,10.8,1028,1028,1006,65,0,11,2.03,58,3.91,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","scattered clouds",10000,0,2024-11-08,09:00:00,10.74,9.65,10.74,10.74,1027,1027,1005,68,0,36,2.01,58,3.52,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","few clouds",10000,0,2024-11-08,12:00:00,10.44,9.39,10.44,10.44,1027,1027,1005,71,0,21,1.83,85,2.2,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","broken clouds",10000,0,2024-11-08,15:00:00,12.3,10.94,12.3,12.3,1028,1028,1006,52,0,75,1.97,106,2.93,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","broken clouds",10000,0,2024-11-08,18:00:00,15,13.55,15,15,1026,1026,1004,38,0,76,2.07,86,2.26,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","broken clouds",10000,0,2024-11-08,21:00:00,14.44,13.09,14.44,14.44,1025,1025,1003,44,0,73,2.71,65,3.08,"d",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","scattered clouds",10000,0,2024-11-09,00:00:00,12.73,11.55,12.73,12.73,1024,1024,1002,57,0,45,2.64,57,5.63,"n",0,"Chicago",41.85,-87.65,"US",2695598,-21600,2024-11-03 12:25:59,2024-11-03 22:42:16
"Clouds","few clouds",10000,0,2024-11-04,03:00:00,19.93,19.47,19.93,21.89,1019,1019,1017,57,-1.96,20,7.59,186,9.07,"d",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clouds","few clouds",10000,0,2024-11-04,06:00:00,20.87,20.4,20.87,22.75,1018,1018,1015,53,-1.88,24,8.52,195,9.74,"d",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clear","clear sky",10000,0,2024-11-04,09:00:00,20.99,20.53,20.99,21.52,1018,1018,1015,53,-0.53,7,7.53,210,11.05,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clear","clear sky",10000,0,2024-11-04,12:00:00,20.57,20.17,20.57,20.57,1017,1017,1015,57,0,0,5.7,221,9.13,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clear","clear sky",10000,0,2024-11-04,15:00:00,19.55,19.13,19.55,19.55,1015,1015,1013,60,0,0,3.22,243,6.88,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clear","clear sky",10000,0,2024-11-04,18:00:00,18.16,17.52,18.16,18.16,1015,1015,1013,57,0,8,1.71,321,1.79,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clouds","overcast clouds",10000,0,2024-11-04,21:00:00,17.71,17.02,17.71,17.71,1015,1015,1013,57,0,99,3.17,356,4.04,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clouds","overcast clouds",10000,0,2024-11-05,00:00:00,18.82,18.01,18.82,18.82,1016,1016,1014,48,0,98,3.07,3,3.74,"d",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clouds","overcast clouds",10000,0,2024-11-05,03:00:00,20.19,19.49,20.19,20.19,1014,1014,1013,47,0,99,3.21,55,3.65,"d",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Rain","light rain",10000,0.2,2024-11-05,06:00:00,18.54,18.12,18.54,18.54,1014,1014,1012,64,0,99,7.48,64,8.43,"d",0.15,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
"Clouds","overcast clouds",10000,0,2024-11-05,09:00:00,17.75,17.3,17.75,17.75,1015,1015,1014,66,0,100,7.6,65,9.2,"n",0,"Tokyo",35.6895,139.6917,"JP",12445327,32400,2024-11-03 21:06:03,2024-11-04 07:43:30
