"DATE","HOUR_INTERVAL","RENTED_BIKE_COUNT","RAINFALL","TEMPERATURE","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","SNOWFALL"
2018-11-01,00:00:00,1470,0,17.59,1.77,1947,-1.23,0,0
2018-11-01,03:00:00,543,0,20.56,0.5,1947,-1.43,0,0
2018-11-01,06:00:00,3387,0,23.71,0.53,1630,-1.27,0.04,0
2018-11-01,09:00:00,2559,0,11.29,1.07,1279,-1.3,1.35,0
2018-11-01,12:00:00,2934,0,0.56,2.3,1824,-2.33,2.14,0
2018-11-01,15:00:00,3869,0,0.56,2.03,1975,-1.7,1.11,0
2018-11-01,18:00:00,5084,0,9.07,1.4,1943,0.2,0.01,0
2018-11-01,21:00:00,3118,0,15.18,0.57,1777,0.9,0,0
2018-11-02,00:00:00,1571,0,19.44,0.5,1557,0.9,0,0
2018-11-02,03:00:00,570,0,23.15,0.93,1408,0.87,0,0
2018-11-02,06:00:00,3333,0,23.71,0.93,1286,0.27,0.04,0
2018-11-02,09:00:00,2658,0,10,0.97,1411,-0.1,1.34,0
2018-11-02,12:00:00,3313,0,2.22,1.17,1398,1.2,2.05,0
2018-11-02,15:00:00,4405,0,0.56,1.43,1655,1.53,1.06,0
2018-11-02,18:00:00,5124,0,5.74,1.33,1682,0.5,0.01,0
2018-11-02,21:00:00,3103,0,13.52,1.77,1311,1.83,0,0
2018-11-03,00:00:00,1255,0,17.78,0.67,1252,1.8,0,0
2018-11-03,03:00:00,463,0,21.85,0.87,1129,1.6,0,0
2018-11-03,06:00:00,2264,0,25.18,0.77,927,1.67,0.04,0
2018-11-03,09:00:00,2049,0,9.82,1.2,960,0.8,1.35,0
2018-11-03,12:00:00,2395,0,-1.11,2.07,1327,-0.5,2.09,0
2018-11-03,15:00:00,2999,0,-0.18,1.97,1367,0.33,1.04,0
2018-11-03,18:00:00,3533,0,15.74,1.3,774,5.53,0.01,0
2018-11-03,21:00:00,2287,0,19.63,1.07,825,4.27,0,0
2018-11-04,00:00:00,1615,0,16.48,0.63,1374,1.63,0,0
2018-11-04,03:00:00,596,0,20.93,0.9,1322,1.77,0,0
2018-11-04,06:00:00,881,0,24.82,0.8,865,2.07,0.03,0
2018-11-04,09:00:00,2342,0,11.29,1.1,724,1.57,1.33,0
2018-11-04,12:00:00,4011,0,-1.67,1.93,1414,-0.4,2.08,0
2018-11-04,15:00:00,4865,0,-2.41,2.5,1876,-1,1.03,0
2018-11-04,18:00:00,3592,0,12.04,2.1,1380,4.03,0,0
2018-11-04,21:00:00,2569,0,19.63,1.1,967,5.27,0,0
2018-11-05,00:00:00,1072,0,25.56,0.03,841,5.7,0,0
2018-11-05,03:00:00,434,0,27.78,0.73,626,5.17,0,0
2018-11-05,06:00:00,3538,0,28.33,0.9,535,4.37,0.04,0
2018-11-05,09:00:00,2624,0,14.26,1.07,729,3.2,1.21,0
2018-11-05,12:00:00,2950,0,6.67,1.47,834,4.43,1.71,0
2018-11-05,15:00:00,4082,0,7.04,1.6,1167,4.6,0.73,0
2018-11-05,18:00:00,5439,0,18.33,1.67,827,6.8,0,0
2018-11-05,21:00:00,3333,0,27.04,1.03,344,8.3,0,0
2018-11-06,00:00:00,1255,0,24.07,0.33,662,5.6,0,0
2018-11-06,03:00:00,463,0,27.78,0.3,471,6.13,0,0
2018-11-06,06:00:00,2264,0,27.41,0.77,453,5.4,0.04,0
2018-11-06,09:00:00,2049,0,16.48,0.57,529,4.37,0.65,0
2018-11-06,12:00:00,2395,0,12.41,1.63,346,6.7,1.38,0
2018-11-06,15:00:00,2999,0,14.07,1.37,323,7.53,0.55,0
2018-11-06,18:00:00,3533,0,22.22,1.23,227,8.5,0,0
2018-11-06,21:00:00,2287,0,23.52,1.07,266,7.97,0,0
2018-11-07,00:00:00,1185,0,25,1.43,289,7.97,0,0
2018-11-07,03:00:00,158,0.17,33.71,0.63,119,9.63,0,0
2018-11-07,06:00:00,1891,0.33,32.41,1.13,206,9.43,0,0
2018-11-07,09:00:00,1903,0.17,28.89,0.83,454,9.17,0.21,0
2018-11-07,12:00:00,2262,0,22.78,1.33,631,9.57,0.8,0
2018-11-07,15:00:00,2797,0,22.41,1.07,696,10.13,0.34,0
2018-11-07,18:00:00,3585,0,25.74,1.37,835,10.07,0,0
2018-11-07,21:00:00,2744,0,23.15,1.2,1561,8.53,0,0
2018-11-08,00:00:00,675,0,25,1.5,1836,8.17,0,0
2018-11-08,03:00:00,177,0.17,30.74,1.63,1244,9.07,0,0
2018-11-08,06:00:00,458,0.5,31.67,1.63,1207,8.9,0.01,0
2018-11-08,09:00:00,98,0.67,34.63,2.1,612,9.83,0.11,0
2018-11-08,12:00:00,81,1.83,35.18,2.43,517,10.63,0.29,0
2018-11-08,15:00:00,100,3.17,35.74,1.37,589,11.03,0.03,0
2018-11-08,18:00:00,71,3,36.11,1.13,415,12.7,0,0
2018-11-08,21:00:00,61,6,35.56,3.27,509,11.93,0,0
2018-11-09,00:00:00,1255,6,32.78,3.13,1414,10.07,0,0
2018-11-09,03:00:00,463,0.17,23.89,3.03,1220,6.43,0,0
2018-11-09,06:00:00,2264,0,25.93,2.83,1483,6.83,0.02,0
2018-11-09,09:00:00,2049,0.17,20.18,3.8,1980,6,0.67,0
2018-11-09,12:00:00,2395,0,9.07,4.07,1136,3.47,1.78,0
2018-11-09,15:00:00,2999,0,15,3.53,721,6.07,0.78,0
2018-11-09,18:00:00,3533,0,21.48,2.43,579,6.8,0,0
2018-11-09,21:00:00,2287,0,23.89,1.6,477,6.87,0,0
2018-11-10,00:00:00,2001,0,25.74,0.87,436,7.37,0,0
2018-11-10,03:00:00,732,0,29.44,0.7,302,7.27,0,0
2018-11-10,06:00:00,1065,0,29.63,0.5,303,7.03,0.02,0
2018-11-10,09:00:00,2095,0,21.67,1.37,380,6.8,0.9,0
2018-11-10,12:00:00,3241,0,8.33,2.3,605,4.53,1.88,0
2018-11-10,15:00:00,3871,0,4.44,1.9,860,2.03,0.91,0
2018-11-10,18:00:00,3060,0,18.89,1.63,466,5.9,0,0
2018-11-10,21:00:00,2408,0,27.22,1.17,278,7.4,0,0
2018-11-11,00:00:00,1543,0,30.18,0.8,243,6.47,0,0
2018-11-11,03:00:00,614,0,28.52,0.6,336,4.27,0,0
2018-11-11,06:00:00,740,0,28.33,1.1,369,3.67,0.04,0
2018-11-11,09:00:00,1715,0,20.74,0.77,352,4.17,0.71,0
2018-11-11,12:00:00,2337,0,19.26,1.53,443,4.1,0.35,0
2018-11-11,15:00:00,2108,0,14.44,2.1,767,1.73,0.14,0
2018-11-11,18:00:00,2148,0,11.85,1.13,1515,-0.37,0,0
2018-11-11,21:00:00,1933,0,14.26,0.17,1977,-0.7,0,0
2018-11-12,00:00:00,987,0,18.71,1.23,2000,-0.8,0,0
2018-11-12,03:00:00,389,0,20,0.03,2000,-1.13,0,0
2018-11-12,06:00:00,3122,0,21.11,0.33,1995,-1.4,0.02,0
2018-11-12,09:00:00,2399,0,9.07,1.07,1596,-2.43,1.19,0
2018-11-12,12:00:00,2663,0,1.85,1.47,1449,-1.7,1.92,0
2018-11-12,15:00:00,3749,0,3.52,2.27,1533,-1.07,0.91,0
2018-11-12,18:00:00,4780,0,7.96,2.17,1920,-1.13,0,0
2018-11-12,21:00:00,2914,0,12.78,1,1670,-0.8,0,0
2018-11-13,00:00:00,1404,0,18.33,0.47,1581,-0.27,0,0
2018-11-13,03:00:00,500,0,18.71,0,1397,-0.97,0,0
2018-11-13,06:00:00,3378,0,21.48,0.53,1182,-0.43,0.02,0
2018-11-13,09:00:00,2489,0,11.11,0.9,767,-0.63,1.11,0
2018-11-13,12:00:00,2730,0,5.37,1.87,1520,0.87,1.85,0
2018-11-13,15:00:00,3588,0,3.33,1.9,1841,-0.07,0.91,0
2018-11-13,18:00:00,4896,0,6.48,1.43,1906,-1.57,0,0
2018-11-13,21:00:00,3007,0,8.33,0.73,1990,-2.6,0,0
2018-11-14,00:00:00,1456,0,14.26,0.67,1745,-1.17,0,0
2018-11-14,03:00:00,509,0,20.74,0.43,1312,0.43,0,0
2018-11-14,06:00:00,3325,0,25,0.97,1164,1.33,0.02,0
2018-11-14,09:00:00,2690,0,12.41,0.9,1713,0.67,1.11,0
2018-11-14,12:00:00,2992,0,4.07,1.53,1519,1.4,1.89,0
2018-11-14,15:00:00,3732,0,3.71,1.73,1523,0.7,0.84,0
2018-11-14,18:00:00,4933,0,10.18,2.13,1300,1.37,0,0
2018-11-14,21:00:00,3070,0,14.63,0.6,1276,1.1,0,0
2018-11-15,00:00:00,1412,0,19.07,0.43,1111,1.43,0,0
2018-11-15,03:00:00,545,0,23.89,1,991,1.8,0,0
2018-11-15,06:00:00,2926,0,24.26,0.93,790,1.03,0.03,0
2018-11-15,09:00:00,2852,0,13.33,0.93,1033,0.33,0.92,0
2018-11-15,12:00:00,2724,0,3.15,1.43,1007,0.27,1.55,0
2018-11-15,15:00:00,3510,0,1.11,1.27,1008,-0.73,0.68,0
2018-11-15,18:00:00,4628,0,8.33,1.37,862,0.03,0,0
2018-11-15,21:00:00,2905,0,12.22,0.8,807,-0.03,0,0
2018-11-16,00:00:00,1579,0,15.37,0.63,755,0.33,0,0
2018-11-16,03:00:00,584,0,17.96,0.57,687,0.8,0,0
2018-11-16,06:00:00,3043,0,17.96,0.6,699,0.57,0.01,0
2018-11-16,09:00:00,2524,0,11.85,0.93,649,0.6,0.66,0
2018-11-16,12:00:00,2721,0,10,2.8,871,3.4,1.56,0
2018-11-16,15:00:00,3467,0,18.71,3.27,674,5.7,0.53,0
2018-11-16,18:00:00,4254,0,24.44,3,518,4.67,0,0
2018-11-16,21:00:00,2488,0,22.96,1.6,804,1.53,0,0
2018-11-17,00:00:00,1679,0,24.63,1.47,877,-0.27,0,0
2018-11-17,03:00:00,612,0,24.07,1.53,1163,-2.1,0,0
2018-11-17,06:00:00,996,0,24.07,0.83,1319,-2.97,0.02,0
2018-11-17,09:00:00,2207,0,7.78,0.83,1584,-5.87,1.16,0
2018-11-17,12:00:00,3000,0,0.74,1.67,1723,-5.47,1.53,0
2018-11-17,15:00:00,3023,0,1.29,2.53,1925,-6.5,0.34,0
2018-11-17,18:00:00,2256,0,5.74,1.37,1889,-5.7,0,0
2018-11-17,21:00:00,1916,0,6.48,1.47,1976,-6.8,0,0
2018-11-18,00:00:00,1370,0,10.37,1.33,1982,-6,0,0
2018-11-18,03:00:00,515,0,10.18,0.4,1917,-6.83,0,0
2018-11-18,06:00:00,676,0,12.22,0.6,1613,-6.1,0.01,0
2018-11-18,09:00:00,1685,0,5.93,0.97,1570,-6.57,0.69,0
2018-11-18,12:00:00,2735,0,4.63,2.33,1844,-3.17,1.31,0
2018-11-18,15:00:00,3112,0,3.52,1.7,1695,-4.27,0.49,0
2018-11-18,18:00:00,2380,0,8.33,1.37,1641,-2.7,0,0
2018-11-18,21:00:00,1846,0,11.85,0.47,1505,-1.87,0,0
2018-11-19,00:00:00,924,0,15.74,0.63,1356,-1.03,0,0
2018-11-19,03:00:00,388,0,19.63,0.9,1151,-1.03,0,0
2018-11-19,06:00:00,3160,0,22.04,0.87,1014,-1,0.02,0
2018-11-19,09:00:00,2285,0,12.59,0.7,886,-1.27,0.96,0
2018-11-19,12:00:00,2363,0,3.71,2,995,-2.97,1.05,0
2018-11-19,15:00:00,3040,0,5.56,2.1,946,-2.57,0.58,0
2018-11-19,18:00:00,4238,0,10,1.57,990,-2.9,0,0
2018-11-19,21:00:00,2558,0,5.37,2.23,1359,-6.87,0,0
2018-11-20,00:00:00,1186,0,6.48,1.4,1673,-8.03,0,0
2018-11-20,03:00:00,462,0,8.15,0.67,1993,-8.97,0,0
2018-11-20,06:00:00,3121,0,11.11,1,1990,-8.17,0.02,0
2018-11-20,09:00:00,2313,0,1.67,1.3,1887,-9.4,1.06,0
2018-11-20,12:00:00,2376,0,-6.85,1.87,1788,-11.17,1.79,0
2018-11-20,15:00:00,3097,0,-5.37,2.83,1919,-9.9,0.81,0
2018-11-20,18:00:00,4252,0,0.18,2.27,1859,-6.87,0,0
2018-11-20,21:00:00,2320,0,4.44,3.57,1789,-3.87,0,0
2018-11-21,00:00:00,407,0.07,27.96,0.87,709,4.1,0,0
2018-11-21,03:00:00,327,0.33,30.37,0.9,661,4.53,0,0
2018-11-21,06:00:00,2709,0,29.82,0.67,526,4.27,0.01,0
2018-11-21,09:00:00,2127,0,4.82,0.87,1821,-5.87,0.34,0
2018-11-21,12:00:00,1794,0,3.71,1.43,1955,-5.83,0.47,0
2018-11-21,15:00:00,2406,0,13.15,1.57,1996,-2.33,0.17,0
2018-11-21,18:00:00,3728,0,10.18,0.53,1976,-4.33,0,0
2018-11-21,21:00:00,2234,0,7.78,1.77,1848,-6.2,0,0
2018-11-22,00:00:00,1096,0,5.37,2.83,1765,-9.5,0,0
2018-11-22,03:00:00,418,0,4.44,1.17,2000,-11.73,0,0
2018-11-22,06:00:00,2851,0,3.89,1,2000,-13.33,0.01,0
2018-11-22,09:00:00,2130,0,-4.63,2.37,1962,-16.1,1.13,0
2018-11-22,12:00:00,2087,0,-3.71,2.77,1978,-12.1,1.79,0
2018-11-22,15:00:00,2576,0,1.85,3.03,1984,-8.33,0.67,0
2018-11-22,18:00:00,3400,0,7.41,2.57,2000,-7.13,0,0
2018-11-22,21:00:00,1938,0,0.37,2.87,2000,-13.47,0,0
2018-11-23,00:00:00,1150,0,5.93,2.83,2000,-11.73,0,0
2018-11-23,03:00:00,429,0,5.18,0.77,2000,-13.3,0,0
2018-11-23,06:00:00,2582,0,5.37,1.27,2000,-14,0.01,0
2018-11-23,09:00:00,2017,0,-2.04,1.27,1925,-15.1,1.09,0
2018-11-23,12:00:00,2114,0,-7.78,2.17,1992,-16.5,1.82,0
2018-11-23,15:00:00,2744,0,-8.15,1.33,2000,-17,0.67,0
2018-11-23,18:00:00,3322,0,-3.71,1.1,2000,-14.83,0,0
2018-11-23,21:00:00,1956,0,-1.11,1.2,1998,-13.7,0,0
2018-11-24,00:00:00,1341,0,-0.93,1.6,2000,-13.23,0,0
2018-11-24,03:00:00,518,0,-2.78,1.6,2000,-14.17,0,0
2018-11-24,06:00:00,142,0,20.74,2.43,703,-5.1,0,1.77
2018-11-24,09:00:00,200,3.03,36.11,2.37,405,0.2,0.02,8.23
2018-11-24,12:00:00,706,0.6,28.33,1.83,1634,0.07,0.6,6
2018-11-24,15:00:00,1201,0,27.59,1.73,1135,0.5,0.51,3.73
2018-11-24,18:00:00,1195,0,29.82,1.33,769,0.37,0,3.37
2018-11-24,21:00:00,1174,0,29.63,1.13,577,0.43,0,3.13
2018-11-25,00:00:00,1075,0,30,1,428,0.53,0,2.93
2018-11-25,03:00:00,410,0,32.41,0.67,296,0.9,0,2.63
2018-11-25,06:00:00,467,0,35.37,0.87,210,0.8,0.01,2.5
2018-11-25,09:00:00,1307,0,24.82,1.1,421,0.23,0.9,2.4
2018-11-25,12:00:00,2152,0,12.59,1.23,737,-0.27,1.25,1.77
2018-11-25,15:00:00,2531,0,13.52,1.03,677,1.03,0.47,0.77
2018-11-25,18:00:00,1849,0,23.33,0.83,515,2,0,0.4
2018-11-25,21:00:00,1421,0,27.78,1,411,1.37,0,0.4
2018-11-26,00:00:00,776,0,29.63,1.07,346,0.8,0,0.3
2018-11-26,03:00:00,333,0,32.41,1.17,286,0.77,0,0.3
2018-11-26,06:00:00,2682,0,30.56,1.17,335,-0.13,0.01,0.3
2018-11-26,09:00:00,2024,0,21.67,1.2,499,0.23,0.91,0.07
2018-11-26,12:00:00,2266,0,10.74,1.23,606,1.43,1.67,0
2018-11-26,15:00:00,2885,0,7.22,1.03,710,0.87,0.75,0
2018-11-26,18:00:00,3832,0,16.11,0.43,572,1.23,0,0
2018-11-26,21:00:00,2364,0,22.78,0.93,446,1.57,0,0
2018-11-27,00:00:00,1203,0,27.78,0.57,347,1.57,0,0
2018-11-27,03:00:00,418,0,30,1,289,1.2,0,0
2018-11-27,06:00:00,2709,0,27.41,0.93,350,0.87,0.01,0
2018-11-27,09:00:00,2039,0,21.11,0.83,386,1.27,0.45,0
2018-11-27,12:00:00,1943,0,17.59,1.3,396,3.97,0.72,0
2018-11-27,15:00:00,2474,0,22.22,2.17,318,6.93,0.36,0
2018-11-27,18:00:00,3386,0,12.78,1.83,444,0.3,0,0
2018-11-27,21:00:00,2110,0,1.11,2.17,714,-8.1,0,0
2018-11-28,00:00:00,1159,0,0,2.03,898,-10.67,0,0
2018-11-28,03:00:00,435,0,0.37,1.7,1003,-11.57,0,0
2018-11-28,06:00:00,2623,0,-1.85,0.93,1276,-14.03,0.01,0
2018-11-28,09:00:00,1989,0,-5.18,1.33,1287,-15.6,0.66,0
2018-11-28,12:00:00,1991,0,-10.18,1.47,1781,-17.3,1.79,0
2018-11-28,15:00:00,2705,0,-7.41,2.87,1631,-13.6,0.77,0
2018-11-28,18:00:00,3417,0,-3.33,1.87,1757,-12.33,0,0
2018-11-28,21:00:00,2205,0,0,1.37,1799,-11.7,0,0
2018-11-29,00:00:00,1321,0,-1.11,0.83,1953,-13.7,0,0
2018-11-29,03:00:00,428,0,0.74,0.77,1988,-12.53,0,0
2018-11-29,06:00:00,2763,0,5.18,1.2,1531,-10.73,0.01,0
2018-11-29,09:00:00,2043,0,-0.93,0.67,1469,-12.3,0.48,0
2018-11-29,12:00:00,1974,0,-2.96,1,1526,-12.07,0.3,0
2018-11-29,15:00:00,2396,0,2.41,2.17,1495,-7.83,0.15,0
2018-11-29,18:00:00,3421,0,9.63,1.37,1530,-4.67,0,0
2018-11-29,21:00:00,2077,0,13.71,1.7,1281,-4.63,0,0
2018-11-30,00:00:00,1230,0,17.59,1.37,1386,-4.87,0,0
2018-11-30,03:00:00,478,0,20.37,0.6,1340,-5.47,0,0
2018-11-30,06:00:00,2570,0,20.37,0.9,1320,-6.13,0.01,0
2018-11-30,09:00:00,2005,0,10.18,1.07,1159,-7.03,0.95,0
2018-11-30,12:00:00,2221,0,-3.15,2.1,1749,-11.23,1.73,0
2018-11-30,15:00:00,2652,0,-4.44,2.3,1939,-12.57,0.72,0
2018-11-30,18:00:00,3151,0,1.67,2.27,1852,-10,0,0
2018-11-30,21:00:00,1990,0,5,0.87,1912,-9.67,0,0
